id,sku,price,description,url,url_pic
133252800,133252818,3019.99,"Notebook VAIO Fit 15S B5511B Intel Core i7 4GB 128SSD Tela LCD  15,6&quot; Windows 10 - Chumbo",https://www.americanas.com.br/produto/133252800/notebook-vaio-fit-15s-b5511b-intel-core-i7-4gb-128ssd-tela-lcd-15-6-windows-10-chumbo,https://images-americanas.b2w.io/produtos/01/00/item/133252/8/133252800SZ.jpg
133332789,133332797,4488.99,Notebook Dell Inspiron I14-7472-A20S Intel Core 8ª i7 8GB (GeForce MX150 com 4GB) 1TB Tela Full HD 14&quot; Windows 10 - Prata,https://www.americanas.com.br/produto/133332789/notebook-dell-inspiron-i14-7472-a20s-intel-core-8-i7-8gb-geforce-mx150-com-4gb-1tb-tela-full-hd-14-windows-10-prata,https://images-americanas.b2w.io/produtos/01/00/item/133332/7/133332789SZ.jpg
133728134,133728142,7799.99,Notebook Samsung Style S51 Pro Intel Core i7 16GB (GeForce MX150 com 2GB) 256GB SSD Tela Full HD LED 15&#039;&#039; Windows 10 - Prata,https://www.americanas.com.br/produto/133728134/notebook-samsung-style-s51-pro-intel-core-i7-16gb-geforce-mx150-com-2gb-256gb-ssd-tela-full-hd-led-15-windows-10-prata,https://images-americanas.b2w.io/produtos/01/00/item/133728/1/133728134SZ.jpg
133710305,133710313,7110.99,"Notebook Dell Gaming G7 7588-A40P Intel Core 8º i7 16GB (GeForce GTX 1060 6GB) 1TB 256GB SSD Tela Full HD 15,6&quot; Windows 10 - Preto",https://www.americanas.com.br/produto/133710305/notebook-dell-gaming-g7-7588-a40p-intel-core-8-i7-16gb-geforce-gtx-1060-6gb-1tb-256gb-ssd-tela-full-hd-15-6-windows-10-preto,https://images-americanas.b2w.io/produtos/01/00/item/133710/3/133710305SZ.jpg
134110862,134110871,2549.99,Notebook 2 em 1 Acer Spin 3 SP314-51-31RV 7ª Intel Core i3 4GB 1TB Tela LED 14&quot; Touch Windows 10 - Cinza,https://www.americanas.com.br/produto/134110862/notebook-2-em-1-acer-spin-3-sp314-51-31rv-7-intel-core-i3-4gb-1tb-tela-led-14-touch-windows-10-cinza,https://images-americanas.b2w.io/produtos/01/00/offers/01/00/item/134110/8/134110862_1GG.jpg
132447736,,,Notebook Positivo Stilo One XC3550 Intel Atom 2GB 32GB Tela LCD 14&quot; Windows 10 - Cinza Escuro,https://www.americanas.com.br/produto/132447736/notebook-positivo-stilo-one-xc3550-intel-atom-2gb-32gb-tela-lcd-14-windows-10-cinza-escuro,https://images-americanas.b2w.io/produtos/01/00/item/132447/7/132447736SZ.jpg
133710866,133710874,4638.99,"Notebook Dell Gaming G7 7588-A10B Intel Core 8º i5 8GB (GeForce GTX 1050TI com 4GB) 1TB Tela Full HD 15,6&quot; Windows 10 - Branco",https://www.americanas.com.br/produto/133710866/notebook-dell-gaming-g7-7588-a10b-intel-core-8-i5-8gb-geforce-gtx-1050ti-com-4gb-1tb-tela-full-hd-15-6-windows-10-branco,https://images-americanas.b2w.io/produtos/01/00/item/133710/8/133710866SZ.jpg
133558702,133558711,5981.99,"Notebook LG Gram Intel Core 8ª i7 8GB 256GB SSD Tela Full HD 15,6&quot; Windows 10 - Branco",https://www.americanas.com.br/produto/133558702/notebook-lg-gram-intel-core-8-i7-8gb-256gb-ssd-tela-full-hd-15-6-windows-10-branco,https://images-americanas.b2w.io/produtos/01/00/item/133558/7/133558702SZ.jpg
133257387,133257395,3069.99,"Notebook Vaio Fit 15S B5411B Intel Core i7 4GB 1TB Tela LCD 15,6&quot; Windows 10 - Chumbo",https://www.americanas.com.br/produto/133257387/notebook-vaio-fit-15s-b5411b-intel-core-i7-4gb-1tb-tela-lcd-15-6-windows-10-chumbo,https://images-americanas.b2w.io/produtos/01/00/item/133257/3/133257387SZ.jpg
133437783,133437791,4199.99,"Notebook Dell Inspiron I15-5570-B30B Intel Core i7 8GB (AMD Radeon 530 com 4GB) 1TB Tela 15,6&quot; Windows 10 - Branco",https://www.americanas.com.br/produto/133437783/notebook-dell-inspiron-i15-5570-b30b-intel-core-i7-8gb-amd-radeon-530-com-4gb-1tb-tela-15-6-windows-10-branco,https://images-americanas.b2w.io/produtos/01/00/item/133437/7/133437783SZ.jpg
133710284,133710292,6988.99,"Notebook Dell Gaming G7 7588-A40B Intel Core 8º i7 16GB (GeForce GTX 1060 6GB) 1TB 256GB SSD Tela Full HD 15,6&quot; Windows 10 - Branco",https://www.americanas.com.br/produto/133710284/notebook-dell-gaming-g7-7588-a40b-intel-core-8-i7-16gb-geforce-gtx-1060-6gb-1tb-256gb-ssd-tela-full-hd-15-6-windows-10-branco,https://images-americanas.b2w.io/produtos/01/00/item/133710/2/133710284SZ.jpg
133281820,133281838,4595.99,Notebook 2 em 1 Dell Inspiron I13-5378-B30C Intel Core i7 8GB 1TB Tela Full HD 13&quot; Touch Windows 10 - Cinza,https://www.americanas.com.br/produto/133281820/notebook-2-em-1-dell-inspiron-i13-5378-b30c-intel-core-i7-8gb-1tb-tela-full-hd-13-touch-windows-10-cinza,https://images-americanas.b2w.io/produtos/01/00/item/133281/8/133281820SZ.jpg
132381423,132381431,3898.99,Notebook Lenovo 2 em 1 Yoga 520 Intel Core i7 8GB 1TB Tela 14&quot; Windows 10 - Platinum,https://www.americanas.com.br/produto/132381423/notebook-lenovo-2-em-1-yoga-520-intel-core-i7-8gb-1tb-tela-14-windows-10-platinum,https://images-americanas.b2w.io/produtos/01/00/item/132381/4/132381423SZ.jpg
133319701,133319710,5899.99,Notebook Samsung Odyssey Intel Core 7ª i7 16GB (GeForce GTX 1060 com 6GB) 1TB Tela LED Full HD 15.6&#039;&#039; Windows 10 - Preto,https://www.americanas.com.br/produto/133319701/notebook-samsung-odyssey-intel-core-7-i7-16gb-geforce-gtx-1060-com-6gb-1tb-tela-led-full-hd-15.6-windows-10-preto,https://images-americanas.b2w.io/produtos/01/00/item/133319/7/133319701SZ.jpg
132165747,,,Notebook Samsung Essentials E21 Intel Celeron Dual Core 4GB 500GB Tela LED FULL HD 15.6&quot; Windows 10 - Branco,https://www.americanas.com.br/produto/132165747/notebook-samsung-essentials-e21-intel-celeron-dual-core-4gb-500gb-tela-led-full-hd-15.6-windows-10-branco,https://images-americanas.b2w.io/produtos/01/00/item/132165/7/132165747SZ.jpg
133659706,133659714,4488.99,Notebook Dell Inspiron I14-7472-A20G Intel Core i7 8GB (GeForce MX150 com 4GB) 1TB Tela Full HD 14&quot; Windows 10 - Dourado,https://www.americanas.com.br/produto/133659706/notebook-dell-inspiron-i14-7472-a20g-intel-core-i7-8gb-geforce-mx150-com-4gb-1tb-tela-full-hd-14-windows-10-dourado,https://images-americanas.b2w.io/produtos/01/00/item/133659/7/133659706SZ.jpg
132193043,,,"Notebook Samsung Expert X23 Intel Core I5 8GB (GeForce 920MX de 2GB) 1TB Tela 15,6&quot; HD LED Windows 10 - Preto",https://www.americanas.com.br/produto/132193043/notebook-samsung-expert-x23-intel-core-i5-8gb-geforce-920mx-de-2gb-1tb-tela-15-6-hd-led-windows-10-preto,https://images-americanas.b2w.io/produtos/01/00/item/132193/0/132193043SZ.jpg
133829728,133829736,4751.99,Notebook Samsung Odyssey Intel Core I7 8GB (Geforce Gtx 1050TI com 4GB) 1TB Tela LED Full HD 15.6&#039;&#039; Windows 10 - Preto,https://www.americanas.com.br/produto/133829728/notebook-samsung-odyssey-intel-core-i7-8gb-geforce-gtx-1050ti-com-4gb-1tb-tela-led-full-hd-15.6-windows-10-preto,https://images-americanas.b2w.io/produtos/01/00/offers/01/00/item/133829/7/133829728SZ.jpg
133829883,133829891,3699.99,"Notebook Vaio Fit 15S B7511B Intel Core i7 8GB 1TB Optane 16GB Tela 15,6&quot; Windows 10 - Chumbo",https://www.americanas.com.br/produto/133829883/notebook-vaio-fit-15s-b7511b-intel-core-i7-8gb-1tb-optane-16gb-tela-15-6-windows-10-chumbo,https://images-americanas.b2w.io/produtos/01/00/item/133829/8/133829883SZ.jpg
133710321,133710330,5778.99,"Notebook Dell Gaming G7 7588-A20P Intel Core 8º i7 8GB (GeForce GTX 1050TI com 4GB) 1TB 128GB SSD Tela Full HD 15,6&quot; Windows 10 - Preto",https://www.americanas.com.br/produto/133710321/notebook-dell-gaming-g7-7588-a20p-intel-core-8-i7-8gb-geforce-gtx-1050ti-com-4gb-1tb-128gb-ssd-tela-full-hd-15-6-windows-10-preto,https://images-americanas.b2w.io/produtos/01/00/item/133710/3/133710321SZ.jpg
133667749,133667757,3267.99,"Notebook Dell Inspiron I15-3576-A60C Intel Core 8ª i5 8GB (AMD Radeon 520 com 2GB) 1TB Tela LED HD 15,6&quot; Windows 10 Cinza",https://www.americanas.com.br/produto/133667749/notebook-dell-inspiron-i15-3576-a60c-intel-core-8-i5-8gb-amd-radeon-520-com-2gb-1tb-tela-led-hd-15-6-windows-10-cinza,https://images-americanas.b2w.io/produtos/01/00/item/133667/7/133667749SZ.jpg
134109829,134109837,3599.99,"Notebook Acer A515-51G-71CN 7ª Intel Core i7 8GB (Geforce 940MX com 2GB) 2TB Tela LED 15,6&quot; Windows 10 - Cinza",https://www.americanas.com.br/produto/134109829/notebook-acer-a515-51g-71cn-7-intel-core-i7-8gb-geforce-940mx-com-2gb-2tb-tela-led-15-6-windows-10-cinza,https://images-americanas.b2w.io/produtos/01/00/offers/01/00/item/134109/8/134109829SZ.jpg
133437804,133437812,4459.99,"Notebook Dell Inspiron I15-5570-B40C Intel Core i7 8GB (AMD Radeon 530 com 4GB) 2TB Tela 15,6&quot; Windows 10 - Prata",https://www.americanas.com.br/produto/133437804/notebook-dell-inspiron-i15-5570-b40c-intel-core-i7-8gb-amd-radeon-530-com-4gb-2tb-tela-15-6-windows-10-prata,https://images-americanas.b2w.io/produtos/01/00/item/133437/8/133437804SZ.jpg
133831001,133831019,5423.99,Notebook Odyssey Intel Core I7 8GB (Geforce Gtx 1050TI com 4GB) 1TB 256GB SSD  LED Full HD 15.6&#039;&#039; W10 Preto - Samsung,https://www.americanas.com.br/produto/133831001/notebook-odyssey-intel-core-i7-8gb-geforce-gtx-1050ti-com-4gb-1tb-256gb-ssd-led-full-hd-15.6-w10-preto-samsung,https://images-americanas.b2w.io/produtos/01/00/item/133831/0/133831001SZ.jpg
133799910,133799928,3999.99,Notebook Acer Aspire A515-51G-C1CW Intel Core I7-8550u 12GB 1TB Tela LED Full HD 15.6&quot; Windows 10 (Geforce MX130 com 2GB) -  Cinza,https://www.americanas.com.br/produto/133799910/notebook-acer-aspire-a515-51g-c1cw-intel-core-i7-8550u-12gb-1tb-tela-led-full-hd-15.6-windows-10-geforce-mx130-com-2gb-cinza,https://images-americanas.b2w.io/produtos/01/00/item/133799/9/133799910SZ.jpg
133335787,133335795,4599.99,"Notebook Dell Inspiron I15-7572-A20S Intel Core 8ª i7 8GB (GeForce MX150 com 4GB) 1TB Tela Full HD 15,6&quot; Windows 10 - Prata",https://www.americanas.com.br/produto/133335787/notebook-dell-inspiron-i15-7572-a20s-intel-core-8-i7-8gb-geforce-mx150-com-4gb-1tb-tela-full-hd-15-6-windows-10-prata,https://images-americanas.b2w.io/produtos/01/00/offers/01/00/item/133335/7/133335787SZ.jpg
132165801,,,Notebook Samsung Essentials E21 Intel Celeron Dual Core 4GB 500GB Tela LED FULL HD 15.6&quot; Windows 10 - Preto,https://www.americanas.com.br/produto/132165801/notebook-samsung-essentials-e21-intel-celeron-dual-core-4gb-500gb-tela-led-full-hd-15.6-windows-10-preto,https://images-americanas.b2w.io/produtos/01/00/item/132165/8/132165801SZ.jpg
133710840,133710858,6430.99,"Notebook Dell Gaming G7 7588-A30P Intel Core 8º i7 16GB (GeForce GTX 1050TI com 4GB) 1TB 256GB SSD Tela Full HD 15,6&quot; Windows - Preto",https://www.americanas.com.br/produto/133710840/notebook-dell-gaming-g7-7588-a30p-intel-core-8-i7-16gb-geforce-gtx-1050ti-com-4gb-1tb-256gb-ssd-tela-full-hd-15-6-windows-preto,https://images-americanas.b2w.io/produtos/01/00/item/133710/8/133710840SZ.jpg
132568845,,,Notebook Samsung Expert X22s Intel Core i5 8GB 1TB Tela LED HD 14&quot; Windows 10 - Cinza,https://www.americanas.com.br/produto/132568845/notebook-samsung-expert-x22s-intel-core-i5-8gb-1tb-tela-led-hd-14-windows-10-cinza,https://images-americanas.b2w.io/produtos/01/00/item/132568/8/132568845SZ.jpg
132477601,132477610,10079.99,"Notebook Asus Gamer Rog Strix FY156T Intel Core i7 16GB (GeForce GTX 1050 Ti) 1TB 128GB SSD Tela 15,6&#039;&#039; Windows 10 - Preto",https://www.americanas.com.br/produto/132477601/notebook-asus-gamer-rog-strix-fy156t-intel-core-i7-16gb-geforce-gtx-1050-ti-1tb-128gb-ssd-tela-15-6-windows-10-preto,https://images-americanas.b2w.io/produtos/01/00/item/132477/6/132477601SZ.jpg
132294282,,,Notebook Dell Inspiron i15-5566-A10B Intel Core i3 4GB 1TB Tela LED 15.6&quot; Windows 10 - Branco,https://www.americanas.com.br/produto/132294282/notebook-dell-inspiron-i15-5566-a10b-intel-core-i3-4gb-1tb-tela-led-15.6-windows-10-branco,https://images-americanas.b2w.io/produtos/01/00/item/132294/2/132294282SZ.jpg
5053389,5053390,4699.99,Notebook VAIO SR150 Core 2 Duo P8400 2.26GHz 3GB 250GB DVD-RW Webcam 13.3&#039;&#039; Vista Business - Sony,https://www.americanas.com.br/produto/5053389/notebook-vaio-sr150-core-2-duo-p8400-2.26ghz-3gb-250gb-dvd-rw-webcam-13.3-vista-business-sony,https://images-americanas.b2w.io/produtos/01/00/item/5053/3/5053389_1GG.jpg
