cnpj,gtin,city,state
51723435000103,07896496917020,OSASCO,SP
35044791000136,07897399620031,IPAUMIRIM,CE
01851716000165,07896071024624,APARECIDA DE GOIANIA,GO
07206816000115,07898230895687,FORTALEZA,CE
13324184000197,07891999014887,SAO PAULO,SP
70940994000101,07891962054124,GUARULHOS,SP
60409075000152,07891000113998,SAO PAULO,SP
61068276000104,07891150005402,VALINHOS,SP
23643315000152,07891025103233,SAO PAULO,SP
58128190000107,07891018000013,ARACAIGUAMA,SP
07526557000100,07891991001380,SAO PAULO,SP
08505736000123,07891176113068,SAO PAULO,SP
96468079000159,07897259401381,SAO PAULO,SP
54505052000149,07896065880069,CAMPOS DO JORDAO,SP
21326756000103,07896629640221,ITUIUTABA,MG
07526557000100,07891149108015,SAO PAULO,SP
60498706000157,07896036096062,SAO PAULO,SP
02744273000176,07898125760250,MACHADO,MG
45997418000153,07894900681017,RIO DE JANEIRO,RJ
50955707000472,07896102586039,BARUERI,SP
61724241000178,07898075642385,SANTANA DE PARNAIBA,SP
21326756000103,07896629642065,ITUIUTABA,MG
70940994000101,07891962036076,GUARULHOS,SP
61068276000104,07891150059238,VALINHOS,SP
04429377000111,07898292888740,SAO PAULO,SP
54516661003704,07891010916930,SAO JOSE DOS CAMPOS,SP
76490184000187,07891098038302,RIO DE JANEIRO,RJ
60409075000152,07891000072974,SAO PAULO,SP
00382468002131,07891024034064,SAO BERNARDO DO CAMPO,SP
35402759000185,07896002361033,SAO PAULO,SP
05750272000122,07896203103296,CONTAGEM,MG
12819074000214,07898136970341,NAZARE DA MATA,PE
73410326000160,07898377660957,RIO DE JANEIRO,RJ
57885220000167,07896064205511,RIBEIRAO PIRES,SP
17467515000107,07896005804360,SANTA LUZIA,MG
61193496000151,07891048036037,SAO PAULO,SP
01125487000100,07897938903151,MARINGA,PR
60498706000157,07896036096697,SAO PAULO,SP
61193496000151,07891048051054,SAO PAULO,SP
76490184000187,07891098010483,RIO DE JANEIRO,RJ
52034139000150,07896003704174,MARILIA,SP
12764852000134,07898628360315,SAO PAULO,SP
47508411110504,07895000484959,SAO PAULO,SP
33122466000119,07894650120026,RIO DE JANEIRO,RJ
07598255000147,07898950172105,SAO PAULO,SP
60409075000152,07891000114384,SAO PAULO,SP
31565104000177,07892840107116,SAO PAULO,SP
31565104000177,07892840800406,SAO PAULO,SP
55630289000114,07896214532856,ITATIBA,SP
78860863000126,07896327501114,CHAPECO,SC
24353832000150,07898937864429,JUNDIAI,SP
70940994000101,07891962052250,GUARULHOS,SP
52123916000132,07896058501407,MARILIA,SP
13324184000197,00000078913554,SAO PAULO,SP
33040122000160,07896024723055,RIO DE JANEIRO,RJ
08505736000123,07897664169548,SAO PAULO,SP
02338823000157,07898192034001,SAO PAULO,SP
02916265000160,07899567218231,LINS,SP
47038344000153,07896622711263,SERTAOZINHO,SP
04892455000110,07896791902653,SETE LAGOAS,MG
00382468002131,07891024033050,SAO BERNARDO DO CAMPO,SP
47508411110504,07895000475056,SAO PAULO,SP
07526557000100,07891149104109,SAO PAULO,SP
01131570000183,07898929988317,JAGUARIUNA,SP
61068276000104,07891150001626,VALINHOS,SP
50564053000880,07891022856279,SAO BERNARDO DO CAMPO,SP
00063960000109,07891737242640,PORTO ALEGRE,RS
60409075000152,07891000107041,SAO PAULO,SP
60409075000152,07891000103272,SAO PAULO,SP
84869593000117,07896272000021,SAO JOSE DOS PINHAIS,PR
07634785000101,07896510100223,MARANGUAPE,CE
07175867000127,07898530841339,SAO PAULO,SP
23643315000152,07891025114673,SAO PAULO,SP
07604556000136,07896000593726,RECIFE,PE
61193496000151,07891048014295,SAO PAULO,SP
01838723000127,07891515939250,Itajaí,SC
30153506000100,07896000717511,NOVA IGUACU,RJ
07604556000136,07896000595621,RECIFE,PE
43623792000163,07896056401471,GUARULHOS,SP
31565104000177,07892840256043,SAO PAULO,SP
60409075000152,07891000056615,SAO PAULO,SP
89967939000133,07896037913658,FLORES DA CUNHA,RS
87315834000174,07891330015139,ARROIO DO MEIO,RS
52034139000150,07896003703085,MARILIA,SP
60498706000157,07896036095119,SAO PAULO,SP
55223127000161,07896263500202,POTIRENDABA,SP
50955707000472,07896102507171,BARUERI,SP
22229207000175,07896021314324,MACHADO,MG
30153506000100,07896000716866,NOVA IGUACU,RJ
84046101000193,07891080400063,SAO PAULO,SP
59557124000115,07891035040429,SAO PAULO,SP
61068276000104,07891150021662,VALINHOS,SP
60618436000170,07896061300233,SAO PAULO,SP
87456562001870,07893500090779,PELOTAS,RS
61068276000104,07891150055810,VALINHOS,SP
02176615000107,07898126400247,ALVINOPOLIS,MG
07604556000136,07896005401224,RECIFE,PE
07604556000136,07896000583536,RECIFE,PE
05207076000106,07896001272644,ANAPOLIS,GO
61586558000195,07891095400751,SAO PAULO,SP
61068276000104,07891150049529,VALINHOS,SP
07206816000115,07891152327212,FORTALEZA,CE
10367257000130,07898942815010,PIRACICABA,SP
12649349000138,07896963401519,NATAL,RN
60934551000588,07898409952913,SAO PAULO,SP
91589507000188,07896348841800,NOVA PETROPOLIS,RS
08864807000184,07898944992252,ARACAJU,SE
11507415000172,07896013106357,PAULISTA,PE
31565104000177,07892840126216,SAO PAULO,SP
62461140000114,07891203050441,SAO PAULO,SP
61075099000185,07896237900793,SAO PAULO,SP
73410326000160,07897395040727,RIO DE JANEIRO,RJ
12285276000142,07896004401386,MACEIO,AL
52034139000150,07896003706536,MARILIA,SP
16849231000104,07896051123835,BELO HORIZONTE,MG
51377935000122,07896070121010,LEME,SP
07604556000136,07896000594044,RECIFE,PE
03485775000192,07896002111508,PIRASSUNUNGA,SP
23643315000152,07891025103073,SAO PAULO,SP
07526557000100,07891991010832,SAO PAULO,SP
88621586000152,07896029220917,SAO MARCOS,RS
15209980000104,07896383700810,FORTALEZA,CE
47508411110504,07895000318506,SAO PAULO,SP
60409075000152,07891000010433,SAO PAULO,SP
02116946000143,07898906717411,FEIRA DE SANTANA,BA
07526557000100,00000078909229,SAO PAULO,SP
02097007000107,07896262304368,VINHEDO,SP
07206816000115,07891152223101,FORTALEZA,CE
01838723000127,07891515951054,Itajaí,SC
52034139000150,07896003705164,MARILIA,SP
93973329000110,07896404606404,ARROIO DO MEIO,RS
76490184000187,07891098038890,RIO DE JANEIRO,RJ
23643315000152,07891025106838,SAO PAULO,SP
60409075000152,07891000462300,SAO PAULO,SP
16849231000104,07896051146209,BELO HORIZONTE,MG
76490184000187,07891098000057,RIO DE JANEIRO,RJ
38875365000132,07897942100065,SAO PAULO,SP
61068276000104,07891150046559,VALINHOS,SP
78860863000126,07896327514145,CHAPECO,SC
50221019000136,07896052601646,ITU,SP
07206816000115,07896205755349,FORTALEZA,CE
50564053000880,07891022849356,SAO BERNARDO DO CAMPO,SP
22229207000175,07896021314331,MACHADO,MG
03431255000105,07898230715558,ITU,SP
05540409000114,07898957617067,CURITIBA,PR
61068276000104,07891150041639,VALINHOS,SP
60409075000152,07891000259405,SAO PAULO,SP
54516661003704,07891010804589,SAO JOSE DOS CAMPOS,SP
54516661003704,07891010247393,SAO JOSE DOS CAMPOS,SP
02744273000176,07898125760151,MACHADO,MG
43643857000132,07896079827630,SAO PAULO,SP
01358874001230,07891051037939,SAO PAULO,SP
00280273000137,07892509093569,MANAUS,AM
07206816000115,07891152341317,FORTALEZA,CE
09584808000138,07898664210292,RIBEIRAO PIRES,SP
15488031000100,07898933879168,CURITIBA,PR
61068276000104,07891150062412,VALINHOS,SP
01838723000127,07891515402815,Itajaí,SC
51665073000133,07896286614900,RIBEIRAO PRETO,SP
54505052000149,07896065870497,CAMPOS DO JORDAO,SP
82641986000143,07891031102404,BLUMENAU,SC
89724447000117,07896001045231,ESTEIO,RS
61068276000104,07891150036574,VALINHOS,SP
07206816000115,07896205772490,FORTALEZA,CE
50955707000472,07896102502954,BARUERI,SP
61068276000104,07891150054516,VALINHOS,SP
61068276000104,07891150056916,VALINHOS,SP
01838723000127,07891515971267,Itajaí,SC
55223127000161,07896263500660,POTIRENDABA,SP
12285276000142,07896004410067,MACEIO,AL
00382468002131,07891024161982,SAO BERNARDO DO CAMPO,SP
31565104000177,07892840254643,SAO PAULO,SP
33040122000160,07896024742438,RIO DE JANEIRO,RJ
17385999000137,07898954360096,SAO PAULO,SP
43461789000190,07896098902394,AMPARO,SP
61068276000104,07891150052550,VALINHOS,SP
02333707000145,07896089088342,JUNDIAI,SP
76490184000187,07891098038388,RIO DE JANEIRO,RJ
04533624000125,07898051674539,SANTA ROSA DE LIMA,SC
07206816000115,27891152321306,FORTALEZA,CE
50564053000880,07891022849028,SAO BERNARDO DO CAMPO,SP
46025722000100,07896022200145,SUMARE,SP
03822667000168,07898378180843,ESTANCIA,SE
07496057000172,07898022210841,ARAPIRACA,AL
19900000000176,07896045523412,JACAREI,SP
49830136000118,07896056102316,SAO PAULO,SP
02489981000108,07898286190361,LAGARTO,SE
07514411000144,07898949840114,VARZEA PAULISTA,SP
61068276000104,07891150054479,VALINHOS,SP
13324184000197,07896068001225,SAO PAULO,SP
13423976000119,07898951721562,RIBEIRAO PRETO,SP
60498706000157,07896036094495,SAO PAULO,SP
08811226001903,07891091011913,CABEDELO,PB
30153506000100,07896000712981,NOVA IGUACU,RJ
60409075000152,07891000089255,SAO PAULO,SP
59557124000115,07891035023514,SAO PAULO,SP
61068276000104,07891150026759,VALINHOS,SP
55572044000188,07896279112727,SAO PAULO,SP
07757005000617,07898205924404,LAVRAS,MG
07206816000115,07896085052064,FORTALEZA,CE
02867469000158,07897972007846,CARAPICUIBA,SP
02003402000175,07898247780075,VITORIA,ES
24353832000150,07898937864115,JUNDIAI,SP
13498794000107,07898650430956,PORTO ALEGRE,RS
47508411110504,07895000318636,SAO PAULO,SP
03870455000156,07896074603673,BELO HORIZONTE,MG
30153506000100,07896000706034,NOVA IGUACU,RJ
55002133000199,07896004002507,SAO PAULO,SP
30153506000100,07896000713186,NOVA IGUACU,RJ
15579674000160,07898591450556,JUNDIAI,SP
62598586000195,07891032017202,SAO PAULO,SP
35402759000185,07896002300377,SAO PAULO,SP
55840102000107,07896499900401,EMBU DAS ARTES,SP
01731172000106,07898080660916,TUBARAO,SC
10483444000189,07898403780949,MORADA NOVA,CE
33040122000160,07896024722324,RIO DE JANEIRO,RJ
04823214000119,07898907040945,ARAPIRACA,AL
02365095000172,07898939253313,PALMEIRA DOS INDIOS,AL
07206816000115,07896213000691,FORTALEZA,CE
60498706000157,07896036098325,SAO PAULO,SP
03956345000101,07898293495008,UBERLANDIA,MG
88610191000154,07891060815900,PORTO ALEGRE,RS
09325874000193,07898945987035,PINDORETAMA,CE
47508411110504,07895000474608,SAO PAULO,SP
05750272000122,07896203103173,CONTAGEM,MG
47508411110504,07895000318483,SAO PAULO,SP
04892455000110,07896791902851,SETE LAGOAS,MG
07604556000136,07896000595201,RECIFE,PE
03485775000192,07896002108034,PIRASSUNUNGA,SP
45997418000153,07894900323405,RIO DE JANEIRO,RJ
61586558000195,07891095200450,SAO PAULO,SP
33306929000798,07899026442931,SAO PAULO,SP
04833180000143,07898370100122,RECIFE,PE
07206816000115,07891152321296,FORTALEZA,CE
74222563000160,07897751900092,MONTE MOR,SP
07206816000115,07896085075568,FORTALEZA,CE
12213443000140,07896481120466,ARAPIRACA,AL
01131570000183,07898929988171,JAGUARIUNA,SP
60409075000152,07891000248287,SAO PAULO,SP
07206816000115,07896085051968,FORTALEZA,CE
07206816000115,07896205756384,FORTALEZA,CE
60934551000588,07898409954429,SAO PAULO,SP
10483444000189,07898403780932,MORADA NOVA,CE
05540409000114,07898957617371,CURITIBA,PR
70940994000101,07891962048208,GUARULHOS,SP
62691043000118,07891193010074,DIADEMA,SP
34317917000136,07898606180041,ITABUNA,BA
61075099000185,07896237900786,SAO PAULO,SP
61068276000104,07891150027312,VALINHOS,SP
84046101000193,07891080405105,SAO PAULO,SP
50955707000472,07896102582949,BARUERI,SP
05540409000114,07898957617012,CURITIBA,PR
60409075000152,07891000243183,SAO PAULO,SP
61068276000104,07891150059436,VALINHOS,SP
30066989000105,07896229918218,NOVA IGUACU,RJ
01773518000120,07898623950078,JANDIRA,SP
61193496000151,07891048044278,SAO PAULO,SP
61193496000151,07891048014165,SAO PAULO,SP
08505736000123,07896090404384,SAO PAULO,SP
81727414000119,07896283006456,CURITIBA,PR
17159518000175,07896417204659,CONTAGEM,MG
61586558000195,07891095200207,SAO PAULO,SP
07526557000100,07891149440801,SAO PAULO,SP
61193496000151,07891048036204,SAO PAULO,SP
60498706000157,07896036094877,SAO PAULO,SP
13498794000107,07898957962631,PORTO ALEGRE,RS
68093095000179,07896594971290,ATIBAIA,SP
28053619000183,07891008109955,VILA VELHA,ES
05975111000307,07896040703208,PAULINIA,SP
04869719000114,07896063220034,CURITIBA,PR
48657860000129,07896193800427,VALINHOS,SP
61193496000151,07891048071007,SAO PAULO,SP
54360656000144,07891118013869,RIO DAS PEDRAS,SP
07526557000100,07891149106844,SAO PAULO,SP
61068276000104,07891150053960,VALINHOS,SP
00048785000172,07896445470033,FORTALEZA,CE
60409075000152,07891000248201,SAO PAULO,SP
03116028000187,07896775179835,SANTO ANTONIO DA PATRULHA,RS
60498706000157,07896036094938,SAO PAULO,SP
50564053000880,07891022852288,SAO BERNARDO DO CAMPO,SP
62691043000118,07891193049913,DIADEMA,SP
07206816000115,07891152321173,FORTALEZA,CE
47081427000125,07896238101526,CATANDUVA,SP
03816532000190,07891528038704,SAO BERNARDO DO CAMPO,SP
00063960000109,07891737417895,PORTO ALEGRE,RS
16849231000104,07896051123842,BELO HORIZONTE,MG
17467515000107,07896224800594,SANTA LUZIA,MG
07158412000101,07898055841586,IGRAPIUNA,BA
60934551000588,07897309400296,SAO PAULO,SP
17090600000190,07898954857206,MORENO,PE
31565104000177,07892840253349,SAO PAULO,SP
47508411110504,07895000453085,SAO PAULO,SP
22685341000180,07897534800243,UBERLANDIA,MG
60945169001037,07891079001004,IBIUNA,SP
01856022000110,07897042004904,UBERABA,MG
02419557000197,07898115900055,SAO PAULO,SP
16849231000104,07896051146018,BELO HORIZONTE,MG
01708217000113,07898915949148,PETROPOLIS,RJ
82641986000143,07891031116173,BLUMENAU,SC
00148219000132,07896780600041,SALVADOR,BA
45997418000153,07894900680003,RIO DE JANEIRO,RJ
14049467000130,00000078903784,SAO PAULO,SP
30153506000100,07896000712837,NOVA IGUACU,RJ
59557124000115,07891035040986,SAO PAULO,SP
00104603000133,07896013551553,NOVA IGUACU,RJ
08811226001903,07891091011128,CABEDELO,PB
01838723000127,07893000436725,Itajaí,SC
00063960000109,07891737974961,PORTO ALEGRE,RS
01856022000110,07897042013807,UBERABA,MG
17159518000175,07896417204666,CONTAGEM,MG
01838723000127,07893000079311,Itajaí,SC
00382468002131,07891024035580,SAO BERNARDO DO CAMPO,SP
07206816000115,07891152223149,FORTALEZA,CE
12213443000140,07896481140020,ARAPIRACA,AL
22685341000180,07897534809505,UBERLANDIA,MG
33306929000798,07899026483866,SAO PAULO,SP
45997418000153,07894900550061,RIO DE JANEIRO,RJ
51723435000103,07896496917501,OSASCO,SP
62546387000133,07896292304239,MATAO,SP
33040122000160,07896024779434,RIO DE JANEIRO,RJ
17682600000180,07897773307602,SAO LOURENCO,MG
14049467000130,07891097000522,SAO PAULO,SP
45997418000153,07894900611014,RIO DE JANEIRO,RJ
33390527000129,07898234850019,SANTOS,SP
61068276000104,07891150047419,VALINHOS,SP
70940994000101,07891962004921,GUARULHOS,SP
05207076000106,07896001215467,ANAPOLIS,GO
43461789000190,07896055504005,AMPARO,SP
00063960000109,07891737251406,PORTO ALEGRE,RS
01615814000101,07891700033640,SAO PAULO,SP
13342907000180,07898948913949,CABEDELO,PB
05071877000197,07898908207347,CHAPECO,SC
11507415000172,07896013103387,PAULISTA,PE
60409075000152,07891000026496,SAO PAULO,SP
61193496000151,07891048036563,SAO PAULO,SP
61193496000151,07891048070109,SAO PAULO,SP
23643315000152,07891025107170,SAO PAULO,SP
04914890000106,07898367983813,ITU,SP
46344354000669,07891132007530,SAO PAULO,SP
61068276001259,00000078924321,VALINHOS,SP
73410326000160,07897395050108,RIO DE JANEIRO,RJ
17467515000107,07896490290587,SANTA LUZIA,MG
07206816000115,07896213000912,FORTALEZA,CE
16644245000191,07898962289013,ARAPIRACA,AL
79638524001800,07891089100025,CURITIBA,PR
00069957000194,07898152997056,CURITIBA,PR
56851355000149,07896085865862,SAO BERNARDO DO CAMPO,SP
04205454000150,07898341430203,SAO PAULO,SP
61068276000104,07891150042278,VALINHOS,SP
23643315000152,07891025112938,SAO PAULO,SP
70940994000101,07891962037028,GUARULHOS,SP
17467515000107,07896005805008,SANTA LUZIA,MG
02419557000197,07898115900109,SAO PAULO,SP
17467515000107,07896005800669,SANTA LUZIA,MG
47508411110504,07895000474806,SAO PAULO,SP
02089969000106,07898215151807,BELA VISTA DE GOIAS,GO
62461140000114,07891203059833,SAO PAULO,SP
09276452000175,07898902735297,ARAPIRACA,AL
01152141000192,07896085123092,SAO PAULO,SP
01851716000165,07896071023139,APARECIDA DE GOIANIA,GO
17467515000107,07896224813082,SANTA LUZIA,MG
07526557000100,07891149102853,SAO PAULO,SP
61087367000189,07896353300033,SAO PAULO,SP
07526557000100,07891149107353,SAO PAULO,SP
62873054000119,07896746901731,JACAREI,SP
52123916000132,07896058503821,MARILIA,SP
49882913000178,07897064810507,MARILIA,SP
01257995000133,07898080641687,CORUMBAIBA,GO
00382468002131,07891024181072,SAO BERNARDO DO CAMPO,SP
70940994000101,07891962031170,GUARULHOS,SP
85720290000109,07896202891637,LAURENTINO,SC
07206816000115,07891152340433,FORTALEZA,CE
17467515000107,07896224835794,SANTA LUZIA,MG
50564053000880,07891022856804,SAO BERNARDO DO CAMPO,SP
47508411110504,07895000475018,SAO PAULO,SP
03956345000101,07898293494995,UBERLANDIA,MG
02333707000145,07896089088335,JUNDIAI,SP
12363594000184,07896016411106,MACEIO,AL
83310441000117,07891164019341,GUARULHOS,SP
04892455000110,07896791970966,SETE LAGOAS,MG
22229207000175,07896021314911,MACHADO,MG
00382468002131,07891024027530,SAO BERNARDO DO CAMPO,SP
50564053000880,07891022860528,SAO BERNARDO DO CAMPO,SP
01551272000142,07898031171201,RECIFE,PE
02333707000145,07896089088380,JUNDIAI,SP
61068276000104,07891150025950,VALINHOS,SP
87230553000119,07896003872057,ESTEIO,RS
84046101037194,07891300900359,SAO PAULO,SP
73410326000160,07897395020644,RIO DE JANEIRO,RJ
76490184000187,07891098000040,RIO DE JANEIRO,RJ
47508411110504,07895000343027,SAO PAULO,SP
70940994000101,07891962053141,GUARULHOS,SP
22137853000102,07898919412068,GOIANIA,GO
21326756000103,07896629640016,ITUIUTABA,MG
61068276000104,07891150026025,VALINHOS,SP
60409075000152,07891000315200,SAO PAULO,SP
22685341000180,07897534832503,UBERLANDIA,MG
28053619000183,07891008351026,VILA VELHA,ES
03861512000130,07898286200664,ITAPORANGA D AJUDA,SE
01838723000127,07891515614072,Itajaí,SC
64904295000103,07891910030248,SAO PAULO,SP
00382468002131,07891024131183,SAO BERNARDO DO CAMPO,SP
56851355000149,07896085840036,SAO BERNARDO DO CAMPO,SP
23643315000152,07891025114475,SAO PAULO,SP
61586558000195,07891095026494,SAO PAULO,SP
17090600000190,07898954857480,MORENO,PE
61068276000104,07891150016750,VALINHOS,SP
31901382000158,07896022610005,SAO JOAO DA BARRA,RJ
17090600000190,07898657830018,MORENO,PE
61068276000104,07891150062528,VALINHOS,SP
08811226001903,07891091063301,CABEDELO,PB
30153506000100,07896000705693,NOVA IGUACU,RJ
60409075000152,07891000265871,SAO PAULO,SP
33033028000184,07895800308738,CURITIBA,PR
46445219000103,07896114100650,RANCHARIA,SP
50493170000123,07896255577519,RIBEIRAO PRETO,SP
65979973000160,07896048706010,BRAGANCA PAULISTA,SP
54516661003704,07891010503505,SAO JOSE DOS CAMPOS,SP
46025722000100,07896022202972,SUMARE,SP
25759366000170,07897184000253,UBERLÂNDIA,MG
23643315000152,07891025109419,SAO PAULO,SP
33306929000798,07899026464933,SAO PAULO,SP
02097007000107,07895144203850,VINHEDO,SP
04914890000106,07898367980041,ITU,SP
61586558000195,07891095010660,SAO PAULO,SP
44145845000221,07896061990090,MOGI DAS CRUZES,SP
61193496000151,07891048038376,SAO PAULO,SP
35402759000185,07896002301510,SAO PAULO,SP
59557124000115,07891035050701,SAO PAULO,SP
84046101000193,07891080147845,SAO PAULO,SP
59104737000105,07891125000081,SAO BERNARDO DO CAMPO,SP
17682600000180,07897773300634,SAO LOURENCO,MG
01125487000100,07897938904172,MARINGA,PR
84046101037194,07891300900366,SAO PAULO,SP
07175867000127,07898530840486,SAO PAULO,SP
00353155000101,07891772157084,DIADEMA,SP
47508411110504,07895000321285,SAO PAULO,SP
12285276000142,07896004400297,MACEIO,AL
19273747000141,07896010401158,GOVERNADOR VALADARES,MG
75784140000105,07896035941042,CIA NORTE,PR
19900000000176,07896045505357,JACAREI,SP
07790200000134,07896455001029,SAO PAULO,SP
21824073000259,07898010860027,SALINAS,MG
02279324000489,07891167014039,SAO PAULO,SP
01125487000100,07897938900051,MARINGA,PR
00382468002131,07891024039847,SAO BERNARDO DO CAMPO,SP
56010739000139,07896092502453,PRESIDENTE PRUDENTE,SP
76490184000187,07891098036759,RIO DE JANEIRO,RJ
62598586000195,07891032015710,SAO PAULO,SP
04892455000110,07896791902943,SETE LAGOAS,MG
00992173000133,07897754200182,SAO JORGE DO PATROCINIO,PR
