,cnpj,gtin,category
287,71322150001301,7898261390809,"bolos, biscoitos e bolachas"
288,47508411110687,7898366932768,massas e molhos
289,8540603000198,7891000104385,iogurtes e sobremesas
290,76430438007184,7622210661746,"bolos, biscoitos e bolachas"
291,71322150004408,7896003703634,"bolos, biscoitos e bolachas"
292,41185455000378,7891025422150,iogurtes e sobremesas
293,47508411110687,7898403780970,iogurtes e sobremesas
294,32860231000676,78936195,iogurtes e sobremesas
295,47508411152681,7896005803264,cafés e chás
296,13004510024100,7891040222476,limpeza casa
297,71322150004408,8076809513708,massas e molhos
298,41185455000378,7891095300488,farinhas
299,71322150001301,7896496917846,"bolos, biscoitos e bolachas"
300,17676214000185,4896765744251,massas e molhos
301,6057223035552,7891150060975,cabelo
302,47508411110687,7891025700609,iogurtes e sobremesas
303,47508411134004,7897395010164,cervejas
304,3640467002219,8000139923562,massas e molhos
305,3720882000905,7896052605651,cervejas
306,47508411110687,7895000331673,limpeza roupas
307,3720882000905,7891143017139,"manteigas, patês e requeijão"
308,41185455000378,7891176117196,cabelo
309,6057223035552,7506339396126,limpeza roupas
310,75315333008002,7891098001504,cafés e chás
311,47508411134004,7891098002044,cafés e chás
312,63960023575,7898205924787,iogurtes e sobremesas
313,13004510024100,7896045505371,cervejas
314,32860231000676,7898403782233,bebidas lácteas
315,47508411134004,7891089100360,conservas e enlatados
316,1915625001037,7898915949209,cervejas
317,47508411113945,7896036097267,massas e molhos
318,63960023575,7891025114451,iogurtes e sobremesas
319,3640467002219,7896022204631,"bolos, biscoitos e bolachas"
320,47508411110687,7895000336739,leite
321,71322150003266,7891150062405,massas e molhos
322,5154589000368,7891000067048,iogurtes e sobremesas
323,13004510024100,7896081805367,cafés e chás
324,6057223023112,7896102507171,massas e molhos
325,6057223023112,7896327513940,doces e sobremesas
326,71322150003266,7891000889701,"bolos, biscoitos e bolachas"
327,71322150004408,7896003702590,"bolos, biscoitos e bolachas"
328,76430438007184,7898295300409,cervejas
329,76430438007184,7896045523412,cervejas
330,8540603000198,7898080641564,doces e sobremesas
331,13004510024100,7898045320800,limpeza casa
332,75315333009831,7896268000165,limpeza casa
333,63960005917,7896775102383,doces e sobremesas
334,39346861026802,7897395020101,cervejas
335,63960023575,7896196059044,massas e molhos
336,47508411110687,7891991001373,refrigerantes
337,47508411135833,7896238101557,iogurtes e sobremesas
338,1915625001037,78936683,cervejas
339,6057223035552,7896090404384,desodorantes
340,32860231000676,7896102507188,massas e molhos
341,47508411110687,7894900681000,refrigerantes
342,76430438007184,7896071023108,"bolos, biscoitos e bolachas"
343,63960005917,7891737251406,doces e sobremesas
344,63960005917,7896058257601,"bolos, biscoitos e bolachas"
345,47508411110687,7895000473533,limpeza roupas
346,39346861029909,7891150061965,limpeza roupas
347,76430438007184,7610400010016,bomboniere
348,41185455001501,7891098041029,cafés e chás
349,9379531000101,7896021300655,massas e molhos
350,3720882000905,7891515939243,iogurtes e sobremesas
351,51010502000800,7894900921519,refrigerantes
352,75315333008002,7891095156429,temperos e condimentos
353,47508411137100,7896010401103,bebidas lácteas
354,47508411152681,7891962051062,"bolos, biscoitos e bolachas"
355,6057223023112,7891150037250,cabelo
356,9379531000101,7891149210305,cervejas
357,3720882000905,7896945400035,doces e sobremesas
358,47508411110687,7895800112632,bomboniere
359,63960023575,7501001303518,cabelo
360,71322150001301,9487691627180,cervejas
361,6057223023112,7896066343327,"bolos, biscoitos e bolachas"
362,8540603000198,7896036093139,"óleos, azeites e vinagres"
363,17676214000185,82620707,"bolos, biscoitos e bolachas"
364,75315333008002,7896235800088,massas e molhos
365,63960005917,7891095022434,"bolos, biscoitos e bolachas"
366,71322150001301,7896050411032,"bolos, biscoitos e bolachas"
367,17676214000185,7891991000727,refrigerantes
368,5154589000368,7896003915150,massas e molhos
369,76430438007184,7891097011580,iogurtes e sobremesas
370,47508411137100,7896003703030,"bolos, biscoitos e bolachas"
371,8540603000198,7896005805114,cafés e chás
372,39346861026802,7891000261002,iogurtes e sobremesas
373,75315333009246,7896213003753,massas e molhos
374,71322150001301,7896058505450,bomboniere
375,47508411110687,7895000336494,limpeza roupas
376,71322150004408,822451990040,massas e molhos
377,3640467002219,7896003702934,"bolos, biscoitos e bolachas"
378,75315333008002,7891089070700,massas e molhos
379,71322150003266,7897173001285,"bolos, biscoitos e bolachas"
380,32860231000676,7896040700245,limpeza roupas
381,71322150004408,7891149108015,cervejas
382,47508411152681,7622300989408,"bolos, biscoitos e bolachas"
383,47508411113945,7891152222241,massas e molhos
384,71322150003266,2896079013038,cervejas
385,71322150001301,78939363,bomboniere
386,21911839000232,7896061301865,"bolos, biscoitos e bolachas"
387,3720882000905,7898952179119,cervejas
388,63960005917,7897395011123,cervejas
389,8540603000198,7895000318452,doces e sobremesas
390,32860231000676,7891152223149,massas e molhos
391,71322150001301,3697274754813,"bolos, biscoitos e bolachas"
392,76430438007184,7896029027608,massas e molhos
393,1915625001037,7894900093056,refrigerantes
394,76430438007184,7891737417895,"bolos, biscoitos e bolachas"
395,47508411113945,7891515972035,iogurtes e sobremesas
396,75315333008002,7897395020170,cervejas
397,63960005917,7896004002262,"bolos, biscoitos e bolachas"
398,32860231000676,7891024029794,cabelo
399,39346861026802,7898919412372,corpo
400,39346861029909,7891000103876,iogurtes e sobremesas
401,39346861026802,7891999991805,iogurtes e sobremesas
402,75315333009831,7898912485236,bebidas lácteas
403,39346861029909,7896791970904,iogurtes e sobremesas
404,43235985000732,7891150001077,cabelo
405,39346861029909,7898904771606,cervejas
406,76430438007184,7891000244944,iogurtes e sobremesas
407,41185455000378,7506309889375,cabelo
408,47508411137100,7891515488116,aves congeladas
409,9535928000730,7891149103409,refrigerantes
410,39346861029909,7891000259351,"bolos, biscoitos e bolachas"
411,63960023575,7891150019508,cabelo
412,47508411134004,7894900030013,refrigerantes
413,41185455001501,7500435127639,dental
414,47508411113945,7896098900741,limpeza roupas
415,76430438007184,1896920400230,bomboniere
416,41185455001501,7896098900604,limpeza casa
417,71322150001301,7891008169980,bomboniere
418,76430438007184,7891000114384,iogurtes e sobremesas
419,63960023575,4896482300037,massas e molhos
420,6057223023112,7896005213186,massas e molhos
421,75315333008002,7898080660183,destilados
422,76430438007184,7891991010481,cervejas
423,75315333008002,7891152341751,"bolos, biscoitos e bolachas"
424,32860231000676,4891445040135,limpeza roupas
425,47508411134004,7896179500587,sucos e refrescos
426,39346861029909,7898292888993,bomboniere
427,75315333007111,7896000712981,cabelo
428,71322150001301,7891991000727,refrigerantes
429,47508411135833,7896066343242,pães e bolos industrializados
430,71322150003266,624014131231,conservas e enlatados
431,47508411137100,7891962045177,"bolos, biscoitos e bolachas"
432,6057223023112,7622210782298,"bolos, biscoitos e bolachas"
433,32860231000676,7896085870903,cabelo
434,47508411113945,7896775400182,leite
435,71322150001301,7896003872057,"bolos, biscoitos e bolachas"
436,5154589000368,7891025109587,iogurtes e sobremesas
437,71322150004408,7896437900012,refrigerantes
438,3720882000905,70177197360,cafés e chás
439,6057223023112,7506339322224,cabelo
440,47508411110687,7891150044012,limpeza roupas
441,51010502000800,7896070191037,massas e molhos
442,47508411152681,7896656800025,cafés e chás
443,71322150003266,7896071023122,"bolos, biscoitos e bolachas"
444,71322150003266,5741000107829,cervejas
445,71322150001301,7891000258453,bomboniere
446,41185455001501,7896292362406,massas e molhos
447,41185455001501,5894852005994,sucos e refrescos
448,47508411135833,8852008302004,"bolos, biscoitos e bolachas"
449,3640467002219,7896058251203,"bolos, biscoitos e bolachas"
450,63960005917,3890715101287,doces e sobremesas
451,47508411113945,7108530841230,"bolos, biscoitos e bolachas"
452,76430438007184,7891048070246,"bolos, biscoitos e bolachas"
453,3720882000905,70177169640,cafés e chás
454,41185455001501,7891528038308,dental
455,41185455001501,7891079000427,massas e molhos
456,47508411110687,7891025107897,leite
457,76430438007184,7891079012789,massas e molhos
458,47508411113945,7897469400297,"manteigas, patês e requeijão"
459,47508411135833,7896024721358,"bolos, biscoitos e bolachas"
460,47508411135833,7891330016723,bomboniere
461,32860231000676,7896094906488,cabelo
462,47508411113945,7891132007486,massas e molhos
463,76430438007184,7898142861701,bomboniere
464,76430438007184,5281003558902,massas e molhos
465,75315333008002,7896273100645,destilados
466,75315333008002,7896003703054,"bolos, biscoitos e bolachas"
467,3720882000905,7891008239553,bomboniere
468,71322150003266,7891150062436,cervejas
469,75315333009831,7896963402035,doces e sobremesas
470,63960023575,7898230715213,cervejas
471,63960005917,7896085072284,"bolos, biscoitos e bolachas"
472,47508411137100,7896005800027,cafés e chás
473,47508411134004,7891149101900,cervejas
474,41185455000378,7896286614832,bomboniere
475,9535928000730,7891079001004,massas e molhos
476,76430438007184,7622210661852,"bolos, biscoitos e bolachas"
477,41185455000378,7891515402532,iogurtes e sobremesas
478,51010502000800,5890222800459,massas e molhos
479,47508411152681,7896292304970,conservas e enlatados
480,39346861029909,7891025105428,iogurtes e sobremesas
481,63960023575,7891150030756,cabelo
482,63960023575,7500435132213,cabelo
483,41185455001501,7896005808016,cafés e chás
484,5154589000368,7896286607568,"bolos, biscoitos e bolachas"
485,75315333007111,7898928518492,cabelo
486,47508411113945,7891700202916,sucos e refrescos
487,3720882000905,7891000244449,bebidas lácteas
488,3720882000905,7891025700609,iogurtes e sobremesas
489,47508411152681,7893333733331,"bolos, biscoitos e bolachas"
490,47508411135833,78936089,iogurtes e sobremesas
491,47508411110687,7896052605651,cervejas
492,17676214000185,7896024721198,"bolos, biscoitos e bolachas"
493,3720882000905,7891024037454,dental
494,76430438007184,7891025114666,iogurtes e sobremesas
495,47508411110687,7891000255544,leite
496,47508411152681,7622300859855,doces e sobremesas
497,47508411110687,7898378180065,sucos e refrescos
498,13004510024100,7898152990170,massas e molhos
499,71322150004408,7891079013083,massas e molhos
500,47508411152681,7896908300099,conservas e enlatados
501,13004510024100,7891048036068,cafés e chás
502,47508411135833,7894900093001,refrigerantes
503,76430438007184,7891000243183,bomboniere
504,1915625001037,7891149103300,cervejas
505,3640467002219,7891962045177,"bolos, biscoitos e bolachas"
506,6057223035552,5897550056572,cabelo
507,39346861029909,7896003702057,"bolos, biscoitos e bolachas"
508,3640467002219,7891079008010,massas e molhos
509,47508411110687,7891962052250,bomboniere
510,3720882000905,7894900681000,refrigerantes
511,63960023575,7891300908683,massas e molhos
512,71322150004408,7894900030396,refrigerantes
513,32860231000676,7898022210063,bebidas lácteas
514,75315333009831,7804630540041,"óleos, azeites e vinagres"
515,71322150003266,7891000068441,"bolos, biscoitos e bolachas"
516,63960023575,7891150052543,cabelo
517,32860231000676,7891025112495,iogurtes e sobremesas
518,47508411152681,7895000475223,"bolos, biscoitos e bolachas"
519,6057223023112,7891079000205,massas e molhos
520,63960005917,7898080641564,doces e sobremesas
521,43235985000732,7501001133627,cabelo
522,39346861029909,3297085718952,iogurtes e sobremesas
523,3640467002219,8000139923609,massas e molhos
524,41185455000378,7896292309517,massas e molhos
525,39346861029909,7896478800074,refrigerantes
526,6057223035552,7894900573701,sucos e refrescos
527,3720882000905,7891991001373,refrigerantes
528,63960006212,7896052600243,refrigerantes
529,39346861029909,7894900093032,refrigerantes
530,71322150003266,2820102503715,cervejas
531,63960006212,7898230710102,cervejas
532,3640467002219,7897516700103,refrigerantes
533,71322150004408,7896022201852,massas e molhos
534,71322150003266,7898230715107,cervejas
535,63960006212,7896186300118,refrigerantes
536,63960023575,7891025115311,iogurtes e sobremesas
537,63960023575,7891150055711,cabelo
538,32860231000676,7899706152105,cabelo
539,5154589000368,7898939253139,iogurtes e sobremesas
540,9379531000101,7891149010400,cervejas
541,3720882000905,7891024136089,dental
542,63960023575,8005110550508,massas e molhos
543,71322150001301,7896066310923,"bolos, biscoitos e bolachas"
544,75315333008002,7896036036051,massas e molhos
545,71322150003266,7896036092859,massas e molhos
546,6057223035552,7897664172234,limpeza roupas
547,43235985000732,7896000722607,cabelo
548,63960023575,7891999420206,iogurtes e sobremesas
549,3640467002219,7896239820525,massas e molhos
550,3720882000905,7898940994052,cafés e chás
551,71322150001301,7898279792039,bomboniere
552,47508411113945,7896098900710,limpeza roupas
553,43235985000732,7894900300017,refrigerantes
554,71322150004408,7896292306585,massas e molhos
555,5154589000368,7891000086193,"bolos, biscoitos e bolachas"
556,47508411152681,7891962052564,"bolos, biscoitos e bolachas"
557,3720882000905,7896179500013,sucos e refrescos
558,13004510024100,9897574018767,cabelo
559,75315333008002,7893218003603,destilados
560,63960005917,7896071024709,"bolos, biscoitos e bolachas"
561,75315333008002,7622210782915,"bolos, biscoitos e bolachas"
562,47508411113945,7898215151814,bebidas lácteas
563,6057223023112,7896025801677,doces e sobremesas
564,75315333008002,7896005801826,cafés e chás
565,3720882000905,7898917642160,"manteigas, patês e requeijão"
566,63960023575,7891150017344,cabelo
567,13004510024100,7891350032123,cabelo
568,6057223023112,7896025801196,massas e molhos
569,9379531000101,7891149107452,cervejas
570,47508411113945,7898080641687,leite
571,71322150004408,7808367980910,cervejas
572,39346861029909,1828460889701,"bolos, biscoitos e bolachas"
573,63960023575,7896021300082,massas e molhos
574,71322150004408,7898176550343,"bolos, biscoitos e bolachas"
575,75315333009246,7898416524721,massas e molhos
576,41185455001501,6892060810323,bomboniere
577,3720882000905,6928541926303,bomboniere
578,63960023575,7500435136679,cabelo
579,9535928000730,7896263500332,refrigerantes
580,76430438007184,7891999009722,iogurtes e sobremesas
581,3720882000905,7896019602105,bomboniere
582,63960006212,7892840812874,refrigerantes
583,75315333009831,7898367980041,cervejas
584,63960023575,7896336804954,cervejas
585,41185455001501,7896224814126,cafés e chás
586,13004510024100,7891010877620,higiene infantil
587,41185455001501,7896022200282,massas e molhos
588,75315333008002,7896085076466,"bolos, biscoitos e bolachas"
589,75315333008274,7893000079311,"manteigas, patês e requeijão"
590,71322150004408,7896003703719,"bolos, biscoitos e bolachas"
591,75315333009831,7896040706490,limpeza casa
592,47508411135833,7899970400056,bomboniere
593,63960023575,7891150054479,cabelo
594,63960023575,7500435020374,cabelo
595,63960005917,7896003702880,"bolos, biscoitos e bolachas"
596,63960005917,7896005216842,"bolos, biscoitos e bolachas"
597,39346861026802,7891150036369,corpo
598,71322150003266,7898942301834,cervejas
599,41185455000378,7896013501831,cabelo
600,63960023575,7891150018761,cabelo
601,76430438007184,7896045505340,cervejas
602,1915625001037,7894900011159,refrigerantes
603,41185455000378,7897938900112,limpeza roupas
604,47508411110687,7898403782240,iogurtes e sobremesas
605,75315333008274,7896090082070,farinhas
606,71322150003266,7896102503715,massas e molhos
607,6057223023112,7896085076190,"bolos, biscoitos e bolachas"
608,75315333009831,7898031171201,limpeza roupas
609,17676214000185,7896102502558,massas e molhos
610,41185455000378,7897064811047,bomboniere
611,71322150003266,7898951721029,cervejas
612,63960023575,7506309877037,cabelo
613,47508411152681,7702025185306,"bolos, biscoitos e bolachas"
614,47508411110687,7895000482399,limpeza roupas
615,41185455001501,7891055803004,dental
616,11517841005903,7896115700491,cabelo
617,6057223023112,7897751900092,cabelo
618,63960023575,7698022200039,massas e molhos
619,71322150004408,7896002362054,"bolos, biscoitos e bolachas"
620,39346861029909,7898142861725,bomboniere
